z  Mstar     Phi       Phiup    Philo
9  10.018896 5.527129 5.956096 5.039276
9  10.395778 5.379060 5.928593 4.608031
8  10.18145 5.75846 6.18530 5.27410
8  10.73684 5.65596 6.20389 4.88704
