m phi
36.51479 -0.77730
35.94698 -0.98125
36.26017 -0.89492
35.65335 -1.06756
35.28136 -1.19308
34.88974 -1.34211
34.55681 -1.48328
34.24370 -1.54611
33.96978 -1.58541
33.77383 -1.70301
33.57803 -1.77361
33.34307 -1.85989
33.08842 -1.98535
32.69696 -2.08738
32.38369 -2.19721
32.07025 -2.36186
31.67870 -2.48739
31.36539 -2.61288
31.03249 -2.74622
30.68001 -2.88739
30.42536 -3.01285
30.20985 -3.13046
29.89641 -3.29511
29.62218 -3.42842
29.38704 -3.56953
29.09331 -3.68718
28.81898 -3.85181
28.60339 -3.99292
28.38778 -4.14185
28.21131 -4.28294
27.95654 -4.44756
27.70187 -4.58085
27.48633 -4.70629
27.30984 -4.85521
27.11374 -5.01980
26.93721 -5.17655
26.76072 -5.32547
26.56467 -5.47440
26.44684 -5.62328
26.36818 -5.75649
26.21119 -5.92106
26.01503 -6.10132
