Lnu Phiu
-13.24874 -1.30097
-13.23234 -1.30671
-13.21596 -1.32292
-13.19807 -1.33337
-13.18320 -1.35013
-13.16551 -1.35843
-13.05736 -1.43468
-13.03673 -1.44255
-13.01565 -1.45165
-12.99457 -1.46074
-12.97456 -1.46668
-12.85737 -1.51748
-12.83562 -1.52545
-12.81460 -1.53207
-12.79293 -1.53994
-12.77287 -1.54481
-12.65213 -1.59825
-12.56487 -1.60321
-12.42980 -1.68918
-12.40873 -1.70429
-12.39151 -1.72679
-12.37653 -1.73309
-12.27874 -1.82472
-12.26116 -1.83753
-12.24801 -1.85685
-12.23051 -1.86718
-12.21929 -1.88589
-12.08899 -2.02958
-12.07412 -2.05389
-12.00858 -2.20143
-11.99577 -2.22550
-11.98547 -2.25272
-11.97363 -2.27756
-11.96181 -2.29203
-11.90746 -2.42646
-11.89442 -2.44932
-11.88590 -2.47667
-11.87627 -2.50144
-11.86682 -2.51934
-11.82363 -2.65776
-11.81356 -2.68134
-11.80374 -2.70803
-11.79419 -2.73527
-11.78475 -2.75384
-11.74156 -2.89203
-11.73149 -2.91547
-11.72203 -2.94064
-11.71240 -2.96818
-11.70304 -2.98884
-11.65949 -3.12734
-11.64942 -3.15138
-11.63996 -3.17796
-11.63069 -3.20507
-11.62098 -3.22473
-11.58112 -3.37597
-11.55226 -3.42570
-11.42373 -3.83578
-11.41377 -3.86191
-11.40422 -3.88988
-11.39648 -3.91792
-11.38820 -3.93594
-11.35051 -4.07243
-11.34308 -4.09777
-11.33607 -4.12145
-11.32870 -4.14829
-11.31984 -4.17190
-11.23652 -4.34285
-11.21880 -4.36780
-11.20361 -4.38578
-11.13113 -4.50932
-11.11393 -4.52948
-11.09815 -4.55649
-11.09267 -4.58748
-11.04436 -4.65491
-11.03099 -4.68687
-11.47777 -3.66704
-11.48796 -3.63657
-11.49814 -3.60610
-11.46758 -3.69750
-12.61076 -1.60227
