m phi
35.42096 -0.36272
35.06871 -0.43340
34.65789 -0.47278
34.26648 -0.55915
33.91422 -0.62983
33.60114 -0.68482
33.32719 -0.73196
33.05317 -0.80260
32.83781 -0.87321
32.54431 -0.92036
32.28987 -0.98316
31.99636 -1.03031
31.70283 -1.08529
31.44844 -1.13242
31.23311 -1.19520
31.05690 -1.25795
30.82211 -1.28941
30.52858 -1.34439
30.25453 -1.42286
29.94137 -1.50136
29.60863 -1.58769
29.25635 -1.66620
28.98235 -1.72901
28.70827 -1.81532
28.47344 -1.86244
28.25809 -1.93304
27.96451 -2.00369
27.69048 -2.07433
27.47520 -2.12144
27.24032 -2.18423
27.12285 -2.22345
26.86841 -2.28625
26.65318 -2.31769
26.51618 -2.34910
26.28117 -2.45105
26.06571 -2.55299
25.85031 -2.63926
25.63490 -2.72554
25.41942 -2.83531
25.20389 -2.96075
25.02750 -3.07833
24.83160 -3.18026
24.69439 -3.27433
24.49844 -3.39193
24.36119 -3.50166
24.20427 -3.64273
24.06694 -3.77596
23.92964 -3.90136
23.79233 -4.02676
23.63542 -4.16783
23.47855 -4.29324
23.39984 -4.44211
23.34079 -4.55963
23.26213 -4.69283
23.22243 -4.87301
23.12411 -5.03755
23.04542 -5.17859
22.96661 -5.35878
22.88782 -5.53115
22.82859 -5.70350
22.73027 -5.86805
22.69062 -6.03256
