Lnu Phiu
-13.29430 -1.96349
-13.27777 -1.97328
-13.25708 -1.98477
-13.23438 -1.99081
-13.21435 -2.00578
-13.19317 -2.01526
-13.17200 -2.02620
-13.15081 -2.03638
-13.13031 -2.04647
-13.10923 -2.05746
-13.08941 -2.07233
-13.07049 -2.08663
-13.05562 -2.10473
-13.03793 -2.11637
-13.02306 -2.13447
-13.00538 -2.14610
-12.99051 -2.16420
-12.97292 -2.17419
-12.96168 -2.19172
-12.94420 -2.20130
-12.93103 -2.21895
-12.91356 -2.22917
-12.90039 -2.24654
-12.88198 -2.25615
-12.86302 -2.26896
-12.84403 -2.27929
-12.82629 -2.29241
-12.80764 -2.30168
-12.78990 -2.31528
-12.77091 -2.32477
-12.75195 -2.33838
-12.73220 -2.34947
-12.71214 -2.36270
-12.69322 -2.37402
-12.67835 -2.39461
-12.66076 -2.40726
-12.64952 -2.42808
-12.63203 -2.43906
-12.62080 -2.45972
-12.60316 -2.47012
-12.59413 -2.48989
-12.57635 -2.49986
-12.56732 -2.51955
-12.54954 -2.52959
-12.54051 -2.54895
-12.52273 -2.55916
-12.51370 -2.57861
-12.49606 -2.58895
-12.48483 -2.60641
-12.46734 -2.61465
-12.45418 -2.63181
-12.43670 -2.64067
-12.42354 -2.65754
-12.40595 -2.66740
-12.39108 -2.68442
-12.37340 -2.69485
-12.35853 -2.71194
-12.34084 -2.72250
-12.32597 -2.73938
-12.30829 -2.75015
-12.29342 -2.76569
-12.27450 -2.77490
-12.25443 -2.78754
-12.23468 -2.79823
-12.21572 -2.81173
-12.19598 -2.82294
-12.17591 -2.83557
-12.15617 -2.84627
-12.13721 -2.85908
-12.11786 -2.86914
-12.09890 -2.88246
-12.08039 -2.89317
-12.06552 -2.90925
-12.04783 -2.91833
-12.03296 -2.93441
-12.01528 -2.94349
-12.00041 -2.95950
-11.98272 -2.96865
-11.96785 -2.98466
-11.95016 -2.99381
-11.93529 -3.00982
-11.91761 -3.01897
-11.90274 -3.03525
-11.88516 -3.04580
-11.87199 -3.06467
-11.85452 -3.07597
-11.84135 -3.09484
-11.82387 -3.10584
-11.81071 -3.12471
-11.79322 -3.13523
-11.78199 -3.15368
-11.76451 -3.16403
-11.75134 -3.18290
-11.73386 -3.19405
-11.72070 -3.21299
-11.70322 -3.22359
-11.69254 -3.24420
-11.67502 -3.26360
-11.65820 -3.28938
-11.64249 -3.31324
-11.62693 -3.32637
-11.62004 -3.35153
-11.60027 -3.37168
-11.58390 -3.39175
-11.56537 -3.41191
-11.53912 -3.46118
-11.51684 -3.49205
-11.50094 -3.51134
-11.49383 -3.54069
-11.48285 -3.56638
-11.47340 -3.59881
-11.46483 -3.62785
-11.45789 -3.65398
-11.45023 -3.68048
-11.44576 -3.70668
-11.43858 -3.72999
-11.43051 -3.75615
-11.42326 -3.78288
-11.41137 -3.80875
-11.40325 -3.83712
-11.39559 -3.86388
-11.38561 -3.89359
-11.37735 -3.92337
-11.37299 -3.95187
-11.36834 -3.97736
-11.35853 -4.00450
-11.35020 -4.03291
-11.33547 -4.05973
-11.32703 -4.09238
-11.31937 -4.11868
-11.31171 -4.14498
-11.30460 -4.18339
-11.29940 -4.21491
-11.29112 -4.23955
-11.28346 -4.26835
-11.27580 -4.29795
-11.26760 -4.32353
-11.25994 -4.35272
-11.25355 -4.38385
-11.24707 -4.40878
-11.24104 -4.43463
-11.23325 -4.46078
-11.22601 -4.48979
-11.21883 -4.51812
-11.21117 -4.54683
-11.20350 -4.57628
-11.19584 -4.60573
-11.18818 -4.63525
-11.17925 -4.66172
-11.16760 -4.68521
