m phi
35.53807 -0.43316
35.32269 -0.51160
34.97026 -0.63711
34.57898 -0.68431
34.32458 -0.73144
34.12886 -0.77854
33.91359 -0.82565
33.71781 -0.88842
33.54165 -0.93551
33.28721 -0.99830
32.99365 -1.06112
32.75861 -1.17090
32.46506 -1.23372
32.09325 -1.30441
31.83881 -1.36721
31.52559 -1.46136
31.27108 -1.54766
31.01658 -1.62612
30.68386 -1.70462
30.37060 -1.81445
30.05736 -1.91644
29.80286 -1.99490
29.56798 -2.05769
29.29390 -2.14399
29.03933 -2.24595
28.74568 -2.34010
28.47160 -2.42641
28.23664 -2.51269
27.98215 -2.59115
27.70805 -2.68529
27.47319 -2.74024
27.27731 -2.83434
27.10107 -2.90493
26.90512 -3.02252
26.76789 -3.12442
26.57199 -3.22635
26.37609 -3.32828
26.23892 -3.41452
26.04304 -3.50861
25.88620 -3.62619
25.74887 -3.75942
25.63123 -3.85348
25.49395 -3.97104
25.33698 -4.12778
25.18004 -4.27669
25.02315 -4.40993
24.90530 -4.56665
24.82674 -4.66852
24.66975 -4.83309
24.55188 -4.99764
24.45363 -5.13869
24.37477 -5.33455
24.31559 -5.49124
24.21727 -5.65578
24.17767 -5.80463
