m phi
34.71626 -0.56675
34.30521 -0.67662
33.89418 -0.77866
33.48326 -0.84938
33.15054 -0.92788
32.73949 -1.03775
32.38714 -1.13977
32.07400 -1.21042
31.74133 -1.27326
31.48686 -1.34389
31.23245 -1.39885
30.91926 -1.48518
30.58654 -1.56368
30.35165 -1.62647
30.09719 -1.69710
29.92100 -1.75202
29.72528 -1.79912
29.47081 -1.86975
29.17715 -1.96390
28.94227 -2.02668
28.70738 -2.08947
28.45296 -2.14443
28.19850 -2.21506
27.96361 -2.27785
27.78729 -2.37193
27.63059 -2.45034
27.47393 -2.51309
27.25868 -2.55236
27.00423 -2.61516
26.76932 -2.68578
26.61254 -2.78769
26.41669 -2.87395
26.27954 -2.95235
26.14233 -3.04642
25.98565 -3.11700
25.88766 -3.17971
25.73093 -3.26596
25.61328 -3.36001
25.47607 -3.45408
25.33890 -3.54031
25.24078 -3.64219
25.10350 -3.75976
24.94672 -3.86167
24.84860 -3.96355
24.69174 -4.08895
24.57401 -4.20651
24.45632 -4.31623
24.35810 -4.44944
24.24035 -4.57483
24.16176 -4.68453
24.08310 -4.81773
23.98486 -4.95877
23.92573 -5.09980
23.84699 -5.25650
23.80734 -5.42101
23.72868 -5.55421
23.70864 -5.70304
23.64954 -5.83623
23.57082 -5.98510
