m phi
36.65301 -0.36991
36.32029 -0.44842
36.04627 -0.51906
35.81138 -0.58184
35.51783 -0.64466
35.22419 -0.73097
34.96970 -0.80943
34.77380 -0.91136
34.49965 -1.02117
34.18654 -1.08400
33.85384 -1.15467
33.59940 -1.21746
33.34488 -1.30376
33.12948 -1.39003
32.87498 -1.46849
32.64002 -1.55478
32.38553 -1.63324
32.15064 -1.69602
31.89613 -1.78232
31.68077 -1.85293
31.44581 -1.93921
31.19137 -2.00201
30.91727 -2.09615
30.72142 -2.18241
30.44729 -2.28438
30.19283 -2.35501
29.97742 -2.44128
29.72285 -2.54325
29.44865 -2.66871
29.17439 -2.80985
28.97844 -2.92745
28.68491 -2.98243
28.43029 -3.10006
28.19525 -3.20984
27.99933 -3.31960
27.82304 -3.40586
27.62709 -3.52345
27.45082 -3.60187
27.25485 -3.72730
27.03931 -3.85274
26.88245 -3.97815
26.70608 -4.08790
26.51011 -4.21333
26.33358 -4.37008
26.17670 -4.50332
26.01978 -4.64440
25.88240 -4.79329
25.78411 -4.95000
25.68581 -5.10671
25.52887 -5.25562
25.41105 -5.40450
25.23448 -5.57692
25.05777 -5.78850
24.90063 -6.00007
