Lnu Phiu
-13.28138 -1.20541
-13.26091 -1.22034
-13.24541 -1.23277
-13.22584 -1.24056
-13.20477 -1.25074
-13.18399 -1.25981
-13.16274 -1.26987
-13.14148 -1.28017
-13.12022 -1.29023
-13.09924 -1.29973
-13.07889 -1.30601
-13.05731 -1.31586
-13.03573 -1.32218
-13.01560 -1.33125
-12.99351 -1.33864
-12.97341 -1.34621
-12.95219 -1.35501
-12.93066 -1.36182
-12.90955 -1.37172
-12.89047 -1.38141
-12.87560 -1.39944
-12.85802 -1.41040
-12.84486 -1.42870
-12.82737 -1.43784
-12.81614 -1.45591
-12.79865 -1.46515
-12.78549 -1.48352
-12.76800 -1.49273
-12.75677 -1.51073
-12.73929 -1.52005
-12.72612 -1.53834
-12.70864 -1.54755
-12.69768 -1.56363
-12.67803 -1.57065
-12.65677 -1.58072
-12.63599 -1.59033
-12.61492 -1.60169
-12.59386 -1.61094
-12.57325 -1.61994
-12.55304 -1.63060
-12.53229 -1.64019
-12.51151 -1.64980
-12.49116 -1.65657
-12.46967 -1.66082
-12.44775 -1.66961
-12.42743 -1.67679
-12.40707 -1.67975
-12.38484 -1.68485
-12.36364 -1.69090
-12.34234 -1.69729
-12.32192 -1.70164
-12.29994 -1.71192
-12.28147 -1.72255
-12.26660 -1.73776
-12.24872 -1.74715
-12.23233 -1.76240
-12.21425 -1.77250
-12.19786 -1.78769
-12.17977 -1.79766
-12.16339 -1.81291
-12.14530 -1.82308
-12.12892 -1.83833
-12.11083 -1.84824
-12.09498 -1.86016
-12.07523 -1.86542
-12.05440 -1.87300
-12.03334 -1.88072
-12.01167 -1.88919
-11.99027 -1.89699
-11.96954 -1.90402
-11.94791 -1.91247
-11.92690 -1.91916
-11.90736 -1.92632
-11.88604 -1.93349
-11.86434 -1.94035
-11.84327 -1.94721
-11.82297 -1.95362
-11.80191 -1.96048
-11.78020 -1.96734
-11.75850 -1.97420
-11.73781 -1.98024
-11.71713 -1.98747
-11.69609 -1.99891
-11.67283 -2.01652
-11.65535 -2.02718
-11.64218 -2.04333
-11.62460 -2.05199
-11.60973 -2.06793
-11.59215 -2.07728
-11.57898 -2.09301
-11.56140 -2.10164
-11.54653 -2.11751
-11.52884 -2.12707
-11.51397 -2.14335
-11.49489 -2.14956
-11.48109 -2.16836
-11.46244 -2.17730
-11.44173 -2.19931
-11.42347 -2.21876
-11.41444 -2.23458
-11.39680 -2.24753
-11.36807 -2.27529
-11.33828 -2.30001
-11.30117 -2.33575
-11.27628 -2.36091
-11.25457 -2.38302
-11.22636 -2.41672
-11.19763 -2.44622
-11.16891 -2.47558
-11.14018 -2.50493
-11.12894 -2.52460
-11.11131 -2.53351
-11.10344 -2.55313
-11.08775 -2.57458
-11.07878 -2.60429
-11.06721 -2.62788
-11.05572 -2.65368
-11.04423 -2.67973
-11.03274 -2.70565
-11.02125 -2.73145
-11.00976 -2.75750
-10.99827 -2.78342
-10.98678 -2.80921
-10.97529 -2.83526
-10.96380 -2.86119
-10.95231 -2.88698
-10.94082 -2.91303
-10.92933 -2.93895
-10.91784 -2.96481
-10.90633 -2.98977
-10.89601 -3.01635
-10.88669 -3.04456
-10.88151 -3.07416
-10.87363 -3.09891
-10.86597 -3.12550
-10.85831 -3.15245
-10.85065 -3.17868
-10.84299 -3.20534
-10.83533 -3.23193
-10.82767 -3.25838
-10.82001 -3.28525
-10.81235 -3.31156
-10.80469 -3.33822
-10.79703 -3.36488
-10.78937 -3.39125
-10.78171 -3.41799
-10.77405 -3.44465
-10.76639 -3.47109
-10.75773 -3.49557
-10.74963 -3.52939
-10.74149 -3.55751
-10.73383 -3.58417
-10.72617 -3.61062
-10.71851 -3.63749
-10.71085 -3.66387
-10.70319 -3.69060
-10.69553 -3.71841
-10.68787 -3.74828
-10.68069 -3.77833
-10.67277 -3.80822
-10.66680 -3.83525
-10.66106 -3.85879
-10.65564 -3.88397
-10.64813 -3.91254
-10.64047 -3.94456
-10.63281 -3.97658
-10.61726 -4.03661
-10.61126 -4.06645
-10.60552 -4.08999
-10.59921 -4.11325
-10.59289 -4.14041
-10.58434 -4.17014
-10.57416 -4.21360
-10.56578 -4.25563
-10.55786 -4.28626
-10.55190 -4.31348
-10.54615 -4.33702
-10.53854 -4.35935
-10.52922 -4.38868
-10.51913 -4.43057
-10.51043 -4.46909
-10.50420 -4.50382
-10.49993 -4.53347
-10.50067 -4.56065
-10.50067 -4.58581
-10.50067 -4.61097
-10.50067 -4.63613
-10.50067 -4.66129
-10.50067 -4.68104
