m phi
36.28146 -0.36227
35.96832 -0.43293
35.73346 -0.48789
35.42037 -0.54288
35.12669 -0.64486
34.85262 -0.73117
34.57864 -0.78614
34.22639 -0.85682
33.97187 -0.94312
33.73694 -1.02157
33.48247 -1.09220
33.22793 -1.18632
33.03213 -1.25692
32.73865 -1.29624
32.46470 -1.34338
32.24930 -1.42965
32.01426 -1.53944
31.66196 -1.62578
31.34877 -1.71211
31.09425 -1.79840
30.74184 -1.91608
30.42855 -2.03374
30.05664 -2.13576
29.70426 -2.24560
29.44972 -2.33973
29.15606 -2.43388
28.88191 -2.54368
28.62732 -2.65348
28.31402 -2.77113
28.03990 -2.87311
27.82442 -2.98288
27.60896 -3.08482
27.37392 -3.19460
27.19760 -3.28869
27.00168 -3.39845
26.78612 -3.53172
26.60970 -3.65714
26.41368 -3.79824
26.25684 -3.91581
26.06079 -4.06474
25.86468 -4.22933
25.66866 -4.37043
25.49203 -4.55851
25.35455 -4.73874
25.21722 -4.87197
25.09931 -5.04435
24.94230 -5.21676
24.86356 -5.37346
24.74566 -5.54584
24.62781 -5.70256
24.49032 -5.88279
